,epoch,train_loss,val_loss
0,1.0,0.004317452990674875,0.0002578882294652761
1,2.0,0.00015313216038486668,0.00010098688830608312
2,3.0,7.813807039210702e-05,7.365200783831163e-05
3,4.0,5.530840329546537e-05,4.003497776714291e-05
4,5.0,4.6759809775503065e-05,3.485245315253203e-05
5,6.0,4.182386937033318e-05,2.956862026415117e-05
6,7.0,3.862010525608639e-05,5.449148720799712e-05
7,8.0,3.904074024068352e-05,2.9706524563524992e-05
8,9.0,3.729750047896923e-05,3.009412406217135e-05
9,10.0,3.585418862718442e-05,2.3240479739363514e-05
10,11.0,3.4322531044703675e-05,4.3107436018048746e-05
11,12.0,3.3977711957936375e-05,5.771729782033865e-05
12,13.0,3.337299018488045e-05,2.909450633513767e-05
13,14.0,3.142159011406276e-05,2.651839123369758e-05
14,15.0,3.189012186132597e-05,2.4698763847523383e-05
15,16.0,3.274614916450975e-05,2.1298491533757027e-05
16,17.0,3.139954428005222e-05,5.904128484375674e-05
17,18.0,3.002524592286044e-05,5.029811954955221e-05
18,19.0,2.9148845137713785e-05,2.393337806552154e-05
19,20.0,2.472824100665623e-05,1.9162310773233252e-05
20,21.0,2.176067232741406e-05,5.758742362641814e-05
21,22.0,1.9804130448921822e-05,1.5668788939199824e-05
22,23.0,1.7805623317167663e-05,3.489791707496889e-05
23,24.0,1.7416595297341885e-05,2.1138068053584323e-05
24,25.0,1.6007934023065577e-05,1.7851841899776198e-05
25,26.0,1.6488033385617718e-05,1.3949527400117486e-05
26,27.0,1.5822939900760814e-05,1.7432325299440974e-05
27,28.0,1.5092549576187409e-05,1.0538895096991816e-05
28,29.0,1.4549749161279245e-05,1.206685018127535e-05
29,30.0,1.3644219379799163e-05,1.0093301048899857e-05
30,31.0,1.4459578566563519e-05,1.0077758509846097e-05
31,32.0,1.1989673075300122e-05,2.5378563470274624e-05
32,33.0,1.230325900379181e-05,4.048628545867607e-05
33,34.0,1.0634884387734099e-05,1.3789991416760214e-05
34,35.0,1.0759349995609388e-05,1.2184570563146157e-05
35,36.0,9.461693156110207e-06,1.1110015345200901e-05
36,37.0,1.0272907522586955e-05,1.089718986535941e-05
37,38.0,9.635515625186139e-06,1.3881785970294334e-05
38,39.0,9.320601155258937e-06,5.548264506930164e-06
39,40.0,8.707940357462115e-06,5.2975135149195426e-06
40,41.0,8.12731833937511e-06,8.767043979415493e-06
41,42.0,7.861544694392998e-06,8.200041774712603e-06
42,43.0,7.865112029710158e-06,6.409218041819093e-06
43,44.0,7.833595086105584e-06,6.582107142156184e-06
44,45.0,7.420075514686157e-06,6.78478157851714e-06
45,46.0,7.118605762968135e-06,6.1399489978116024e-06
46,47.0,7.307021122469565e-06,8.302434604378174e-06
47,48.0,7.274738350234438e-06,4.372634409641953e-06
48,49.0,6.736521757575189e-06,5.889563079687254e-06
49,50.0,6.406470812925927e-06,5.958138301180456e-06
50,51.0,6.5490609395372395e-06,1.054358368667801e-05
51,52.0,6.003081557220775e-06,6.083552745456638e-06
52,53.0,5.855788165220048e-06,5.517354566109134e-06
53,54.0,5.8246150585698815e-06,3.876054581879048e-06
54,55.0,5.490350162775237e-06,1.0818985843095354e-05
55,56.0,5.227210054529885e-06,3.5291494609427075e-06
56,57.0,5.5418491612577275e-06,2.026392106428561e-06
57,58.0,5.143881612480936e-06,7.212461684957816e-06
58,59.0,4.913406423263121e-06,1.3481359209518731e-05
59,60.0,4.904882216571503e-06,1.2076424726811554e-05
60,61.0,4.714163750752994e-06,2.4909455872675193e-06
61,62.0,4.44396280517128e-06,2.83858133462383e-06
62,63.0,4.446287065169473e-06,6.704331448500769e-06
63,64.0,4.137167802064486e-06,5.551211161632223e-06
64,65.0,4.517999155295969e-06,7.444458285797075e-06
65,66.0,4.631909021301471e-06,1.6310148998984045e-06
66,67.0,3.973876334598543e-06,3.234111750316515e-06
67,68.0,4.101005415750363e-06,7.548906975009893e-06
68,69.0,4.1200798160091355e-06,1.2558091223850584e-05
69,70.0,4.559981681466847e-06,1.6851735238596823e-06
70,71.0,3.6010098235505486e-06,2.9638243447038803e-06
71,72.0,3.7212002063883914e-06,3.482061247888685e-06
72,73.0,3.825695194910922e-06,3.819928139137119e-06
73,74.0,3.7597436852509625e-06,2.809745503058862e-06
74,75.0,3.6894208871867875e-06,4.691347695287814e-06
75,76.0,3.431212065348501e-06,3.28151495626695e-06
76,77.0,3.6471977678601595e-06,5.247851846558081e-06
77,78.0,3.1823092613957313e-06,6.059220261663127e-06
78,79.0,3.861215579159471e-06,2.397947022555772e-06
79,80.0,3.249635086596835e-06,3.6830031219055442e-06
80,81.0,3.2362975900168117e-06,2.7586494623351013e-06
81,82.0,3.3584471912309377e-06,1.2532795350365818e-06
82,83.0,3.196474365785998e-06,3.2959229756748054e-06
83,84.0,3.52333231372221e-06,1.693451158308273e-06
84,85.0,3.1915964112524216e-06,8.795821647502387e-06
85,86.0,3.3038086047122593e-06,2.9585752119229173e-06
86,87.0,3.2007258987059226e-06,8.833055366349899e-06
87,88.0,3.1333733661929013e-06,2.638700424029139e-06
88,89.0,3.072593924790724e-06,2.6540528717139916e-06
89,90.0,3.0027410780550345e-06,1.9066444102897798e-06
90,91.0,2.9711062509818474e-06,8.085957641800302e-06
91,92.0,3.09441345403753e-06,1.9816469580420786e-06
92,93.0,3.421094572038069e-06,2.7532364608294882e-06
93,94.0,3.003371808660669e-06,1.129383925563781e-06
94,95.0,2.833979192408876e-06,3.104461479934302e-06
95,96.0,2.8407593280854036e-06,1.2787572503922009e-05
96,97.0,3.0401938893566143e-06,1.8460538244240027e-05
97,98.0,2.8517282248038076e-06,3.2592423136437985e-06
98,99.0,2.9500068275665456e-06,3.73878743031045e-06
99,100.0,2.886850883815533e-06,3.884495187507624e-06
